,article,presence,quantity,average bought,weighted,not weighted
0,ECLAIR,119,277.0,2.327731092436975,0.044270417132811254,0.02773246329526917
1,BAGUETTE,1300,2015.0,1.55,0.32203931596611796,0.3029596830575623
2,PAIN AU CHOCOLAT,206,431.0,2.092233009708738,0.06888285120664857,0.04800745746912142
3,PAIN,368,402.0,1.0923913043478262,0.06424804219274413,0.08576089489629457
4,CROISSANT,167,337.0,2.0179640718562872,0.05385967716157902,0.038918666977394545
5,COUPE,299,319.0,1.0668896321070234,0.0509828991529487,0.06968072710323933
6,SANDWICH,54,70.0,1.2962962962962963,0.01118747003356241,0.012584479142391051
7,KOUIGN AMANN,62,66.0,1.064516129032258,0.010548186031644558,0.014448846422745281
8,GALETTE,1,1.0,1.0,0.000159821000479463,0.00023304591004427873
9,MOISSON,42,46.0,1.0952380952380953,0.0073517660220552995,0.009787928221859706
10,BOISSON,62,82.0,1.3225806451612903,0.013105322039315966,0.014448846422745281
11,BRIOCHE,20,21.0,1.05,0.003356241010068723,0.004660918200885575
12,PATISSERIE,89,120.0,1.348314606741573,0.01917852005753556,0.020741085993940808
13,PAIN AUX RAISINS,23,28.0,1.2173913043478262,0.004474988013424964,0.005360055931018411
14,FINANCIER,23,24.0,1.0434782608695652,0.003835704011507112,0.005360055931018411
15,VIENNOISERIE,36,34.0,0.9444444444444444,0.005433914016301742,0.008389652761594034
16,FAR BRETON,39,39.0,1.0,0.006233019018699057,0.00908879049172687
17,CHAUSSON AUX POMMES,40,49.0,1.225,0.007831229023493686,0.00932183640177115
18,Others (37 articles),572,744.0,1.3006993006993006,0.11890682435672047,0.13330226054532743
19,NANTAIS,39,39.0,1.0,0.006233019018699057,0.00908879049172687
20,TARTELETTE,495,842.0,1.701010101010101,0.13456928240370786,0.11535772547191797
21,FLAN,151,176.0,1.1655629139072847,0.028128496084385488,0.03518993241668609
22,ROYAL,24,34.0,1.4166666666666667,0.005433914016301742,0.00559310184106269
23,TARTE,33,34.0,1.0303030303030303,0.005433914016301742,0.0076905150314611976
24,TRAITEUR,27,27.0,1.0,0.004315167012945501,0.006292239571195526
