id	label
 CONFISERIE	 CONFISERIE
 PAIN	 PAIN
.	.
ARMORICAIN	ARMORICAIN
BAGUETTE	BAGUETTE
BOISSON	BOISSON
BOTTEREAU	BOTTEREAU
BRIOCHE	BRIOCHE
BUCHE	BUCHE
CAKE	CAKE
CARAMEL NOIX	CARAMEL NOIX
CHAUSSON AUX POMMES	CHAUSSON AUX POMMES
CHOCOLAT	CHOCOLAT
CHOU CHANTILLY	CHOU CHANTILLY
CONFISERIE	CONFISERIE
COUPE	COUPE
CROISSANT	CROISSANT
CRUMBLE	CRUMBLE
DOUCEUR D HIVER	DOUCEUR D HIVER
ECLAIR	ECLAIR
ENTREMETS	ENTREMETS
FAR BRETON	FAR BRETON
FINANCIER	FINANCIER
FLAN	FLAN
FONDANT CHOCOLAT	FONDANT CHOCOLAT
FRAISIER	FRAISIER
FRAMBOISIER	FRAMBOISIER
GALETTE	GALETTE
GUERANDAIS	GUERANDAIS
KOUIGN AMANN	KOUIGN AMANN
MACARON	MACARON
MERINGUE	MERINGUE
MILLES FEUILLES	MILLES FEUILLES
MOISSON	MOISSON
NANTAIS	NANTAIS
NID DE POULE	NID DE POULE
NOIX JAPONAISE	NOIX JAPONAISE
PAILLE	PAILLE
PAIN	PAIN
PAIN AU CHOCOLAT	PAIN AU CHOCOLAT
PAIN AUX RAISINS	PAIN AUX RAISINS
PAIN SUISSE PEPITO	PAIN SUISSE PEPITO
PALET BRETON	PALET BRETON
PALMIER	PALMIER
PARIS BREST	PARIS BREST
PATISSERIE	PATISSERIE
REDUCTION	REDUCTION
RELIGIEUSE	RELIGIEUSE
ROYAL	ROYAL
SABLE F  P	SABLE F  P
SACHET DE CROUTON	SACHET DE CROUTON
SANDWICH	SANDWICH
SAVARIN	SAVARIN
ST HONORE	ST HONORE
TARTE	TARTE
TARTELETTE	TARTELETTE
TRAITEUR	TRAITEUR
TRIANGLES	TRIANGLES
TROIS CHOCOLAT	TROIS CHOCOLAT
TROPEZIENNE	TROPEZIENNE
TULIPE	TULIPE
VIENNOISERIE	VIENNOISERIE
